id,title,short_title,theme,source_name,source_url,license,access_date,geography,unit,data_type,format,n_rows,n_cols,update_frequency,level,concepts,concept_ids,level_ids,search_aliases,variables_principales,idees_mini_projets,zero_waste_score,fiche,status,contributor_name,contributor_role
emploi-regional-quebec,Emploi régional au Québec,Emploi régional,Marché du travail,"Institut de la statistique du Québec / Statistique Canada, Enquête sur la population active",https://statistique.quebec.ca/fr/document/population-active-emploi-et-chomage-regions-administratives-rmr-et-quebec,Reproduction de l'information du site de l'Institut de la statistique du Québec interdite sauf permission écrite.,2026-06-20,Régions administratives et ensemble du Québec,"Combinaison indicateur, territoire et mois","Tableau agrégé, séries temporelles mensuelles désaisonnalisées","XLSX officiel, préparé localement en CSV long",25 160 observations préparées : 8 indicateurs x 185 mois x 17 territoires,12 colonnes dans la table préparée,Mensuelle; tableau officiel mis à jour le 5 juin 2026,Introduction à intermédiaire,Séries temporelles; Comparaison de groupes; Données d'enquête; Nettoyage de données Excel; Statistiques descriptives; Indicateurs socioéconomiques,series-temporelles; comparaison-de-groupes; donnees-d-enquete; nettoyage-de-donnees-excel; statistiques-descriptives; indicateurs-socioeconomiques,introduction; intermediaire,Comparaison de groupes; comparaison de groupes; Données d'enquête; données d'enquête; Indicateurs socioéconomiques; indicateurs socioéconomiques; Nettoyage de données Excel; nettoyage de données Excel; nettoyage de données excel; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Séries temporelles; séries temporelles,,,27,datasets/emploi-regional-quebec/fiche.qmd,source officielle vérifiée; fichier XLSX complet du tableau 916 préparé localement,Aurélien Nicosia,Révision pédagogique et statistique
etablissements-enseignement,Localisation des établissements d'enseignement au Québec,Établissements scolaires,Éducation et territoire,Données Québec / Ministère de l'Éducation et Ministère de l'Enseignement supérieur,https://www.donneesquebec.ca/recherche/dataset/localisation-des-etablissements-d-enseignement-du-reseau-scolaire-au-quebec,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Québec,Une ligne préparée correspond à une ligne source dans l'une des 9 ressources CSV retenues,"Table multi-ressources, spatiale, institutionnelle et catégorielle",9 CSV officiels préparés localement en table longue harmonisée,14 067 lignes préparées,31 colonnes dans la table préparée,Hebdomadaire selon le miroir ouvert.canada.ca; paquet CKAN modifié le 16 juin 2026,Introduction à intermédiaire,Cartographie; Données spatiales; Multi-ressources; Unité statistique; Données ouvertes; Statistiques descriptives; Qualité des métadonnées; Réseau scolaire,cartographie; donnees-spatiales; multi-ressources; unite-statistique; donnees-ouvertes; statistiques-descriptives; qualite-des-metadonnees; reseau-scolaire,introduction; intermediaire,Cartographie; Carte; cartes; cartographie; Données ouvertes; données ouvertes; Données spatiales; données spatiales; Multi-ressources; multi-ressources; Qualité des métadonnées; qualité des métadonnées; Réseau scolaire; réseau scolaire; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Unité statistique; unité statistique,source_resource; resource_label; network_category; unit_kind; nom; municipalite; region_administrative; ordre_enseignement; longitude; latitude,"Cartographier une seule ressource, puis expliquer exactement ce que chaque point représente.; Comparer les catégories de réseau sans mélanger les unités statistiques.; Évaluer l'effet des régions manquantes sur un portrait territorial.",27,datasets/etablissements-enseignement/fiche.qmd,source officielle vérifiée; 9 CSV officiels préparés localement,Aurélien Nicosia,Révision pédagogique et statistique
grhq,Géobase du réseau hydrographique du Québec,GRHQ,Hydrographie,Données Québec / Ministère des Ressources naturelles et des Forêts,https://www.donneesquebec.ca/recherche/dataset/grhq,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Québec,Une ligne préparée correspond à une unité de téléchargement de l'index GRHQ,"Index spatial, métadonnées de téléchargement et référentiel hydrographique","Index CSV préparé localement; ressources officielles FGDB, SHP, WMS et PDF documentées",16 unités de téléchargement dans l'index CSV préparé,11 colonnes dans la table préparée,Au besoin selon la page MRNF; paquet CKAN modifié le 11 juin 2026,Intermédiaire à avancé,Hydrographie; Index de téléchargement; Données spatiales; Métadonnées; Unité statistique; sf; Jointure spatiale; Cartographie,hydrographie; index-de-telechargement; donnees-spatiales; metadonnees; unite-statistique; sf; jointure-spatiale; cartographie,intermediaire; avance,Cartographie; Carte; cartes; cartographie; Données spatiales; données spatiales; Hydrographie; hydrographie; Index de téléchargement; index de téléchargement; Jointure spatiale; jointure spatiale; Métadonnées; métadonnées; sf; Unité statistique; unité statistique,bloc; region_hydrographique; partie; is_split_unit; unit_kind; zone; fgdb_zip_file; fgdb_url,Choisir une unité de téléchargement GRHQ et justifier ce choix.; Comparer les unités complètes et les unités fractionnées de l'index.; Préparer le plan d'une jointure spatiale avec des stations de qualité de l'eau.,24,datasets/grhq/fiche.qmd,source officielle vérifiée; index CSV préparé localement,Aurélien Nicosia,Révision pédagogique et statistique
interventions-pompiers-montreal,Interventions des pompiers de Montréal,Interventions SIM,Sécurité publique,Données ouvertes de la Ville de Montréal / Service de sécurité incendie de Montréal,https://donnees.montreal.ca/fr/dataset/interventions-service-securite-incendie-montreal,Attribution (CC-BY 4.0),2026-06-21,Agglomération de Montréal,Intervention réalisée par le Service de sécurité incendie de Montréal,"Tabulaire, spatial, temporel, catégoriel","CSV, GeoJSON et SHP","Fichiers par période; ressource courante d'environ 18,6 Mo, ressource 2020 à 2024 d'environ 73,1 Mo et ressource 2015 à 2022 d'environ 114,5 Mo selon la page consultée le 2026-06-21",13 champs observés dans l'en-tête du CSV courant consulté le 2026-06-21,Quotidienne; fiche descriptive modifiée le 2026-06-21 selon l'API CKAN consultée,Introduction à intermédiaire,Nettoyage; Dates; Agrégation; Tableaux de fréquences; Visualisation; Cartographie; Séries temporelles; Comparaison de groupes; Classification simple,nettoyage; dates; agregation; tableaux-de-frequences; visualisation; cartographie; series-temporelles; comparaison-de-groupes; classification-simple,introduction; intermediaire,Agrégation; agrégation; Cartographie; Carte; cartes; cartographie; Classification simple; classification simple; Comparaison de groupes; comparaison de groupes; Dates; dates; Nettoyage; nettoyage; nettoyage de données; Séries temporelles; séries temporelles; Tableaux de fréquences; tableaux de fréquences; Visualisation; visualisation,CREATION_DATE_TIME; DESCRIPTION_GROUPE; INCIDENT_TYPE_DESC; CASERNE; NOM_VILLE; NOM_ARROND; DIVISION; LATITUDE; LONGITUDE; NOMBRE_UNITES,"Dresser le portrait des types d'interventions.; Analyser les variations par heure, jour, mois et saison.; Comparer les interventions entre arrondissements.; Cartographier les interventions avec agrégation spatiale.; Étudier le nombre d'unités déployées.; Construire un mini-modèle pour prédire les interventions mobilisant plusieurs unités.",27,datasets/interventions-pompiers-montreal/fiche.qmd,source vérifiée,NA,NA
meteo-quebec,Météo quotidienne à Québec,Météo Québec,Météorologie,"UlavalSSD::MeteoQuebec, construit avec weathercan à partir d'ECCC",https://climate.weather.gc.ca/historical_data/search_historic_data_e.html,Données ECCC soumises à l'entente de licence d'ECCC; paquet UlavalSSD sous licence MIT,2026-06-21,"Station Québec/Jean-Lesage, Québec",Observation météorologique quotidienne pour la station Québec/Jean-Lesage,"Série temporelle quotidienne, météorologique et tabulaire",Objet data.frame dans UlavalSSD 0.2.0; CSV préparé localement,20 111 observations quotidiennes préparées,15 colonnes préparées; 11 colonnes dans l'objet UlavalSSD source,Jeu pédagogique gelé dans UlavalSSD 0.2.0; source ECCC mise à jour régulièrement,Introduction,Séries temporelles; Variables numériques; Valeurs manquantes; Statistiques descriptives; Visualisation; Saisonnalité; Données météorologiques; Communication prudente,series-temporelles; variables-numeriques; valeurs-manquantes; statistiques-descriptives; visualisation; saisonnalite; donnees-meteorologiques; communication-prudente,introduction,Communication prudente; communication prudente; Données météorologiques; données météorologiques; Saisonnalité; saisonnalité; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Séries temporelles; séries temporelles; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes; Variables numériques; variables numériques; Visualisation; visualisation,date; annee; mois; saison; max_temp; mean_temp; min_temp; total_precip; total_rain; total_snow; snow_grnd,"Comparer les températures moyennes quotidiennes selon les saisons.; Visualiser l'évolution annuelle des précipitations totales.; Décrire les valeurs manquantes avant de comparer pluie, neige et précipitations.",27,datasets/meteo-quebec/fiche.qmd,source pédagogique vérifiée dans UlavalSSD 0.2.0; préparation locale reproductible,Aurélien Nicosia,Révision pédagogique et statistique
niveaux-eau-inondation,Niveaux d'eau lors d'une inondation,Niveaux d'eau,Inondations et sécurité civile,Données Québec / Ministère de la Sécurité intérieure,https://www.donneesquebec.ca/recherche/dataset/niveaux-deau-inondation-msp,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Québec méridional,Marqueur ponctuel de niveau d'eau observé lors d'un événement d'inondation,"Données ponctuelles, spatiales, événementielles et de sécurité civile","CSV officiel préparé localement; GeoJSON, SHP, WMS et WFS disponibles",1 500 observations préparées,27 colonnes préparées; 17 colonnes dans le CSV source,Annuelle selon le miroir ouvert.canada.ca; paquet CKAN modifié le 3 juin 2026,Introduction à intermédiaire,Données spatiales; Événement extrême; Valeurs manquantes; Précision de mesure; Statistiques descriptives; Cartographie; Communication du risque; Éthique,donnees-spatiales; evenement-extreme; valeurs-manquantes; precision-de-mesure; statistiques-descriptives; cartographie; communication-du-risque; ethique,introduction; intermediaire,Cartographie; Carte; cartes; cartographie; Communication du risque; communication du risque; Données spatiales; données spatiales; Précision de mesure; précision de mesure; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes; Éthique; éthique; Événement extrême; événement extrême,id_msp; rapport_code; date_obs; annee_obs; type_obs; type_observation; long_wgs84; lat_wgs84; err_xy_cm; alt_m_cgvd; err_z_cm; producteur,Cartographier les marqueurs de niveau d'eau sans les confondre avec l'étendue inondée.; Comparer les observations MAX et ACT selon l'année d'observation.; Rédiger une note de communication du risque qui distingue observation ponctuelle et zone inondée.,26,datasets/niveaux-eau-inondation/fiche.qmd,source officielle vérifiée; CSV WFS préparé localement,Aurélien Nicosia,Révision pédagogique et statistique
prelevements-eau-autorises,Registre des prélèvements d'eau autorisés,Prélèvements d'eau,Prélèvements d'eau,"Données Québec / Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",https://www.donneesquebec.ca/recherche/dataset/prelevements-eau,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Québec,Site de prélèvement d'eau autorisé actif depuis l'entrée en vigueur du RPEP,"Données administratives ponctuelles, tabulaires et spatiales","CSV officiel préparé localement; GeoJSON, GPKG, FGDB, SHP, XLSX, REST, WMS et PDF disponibles",1 777 sites de prélèvement préparés,16 colonnes préparées; 9 colonnes dans le CSV source,Annuelle selon le miroir ouvert.canada.ca et le PDF de métadonnées; version source 2025-09-15,Intermédiaire,Eau; Volume autorisé; Données administratives; Agrégation; Valeurs extrêmes; Cartographie; Unités de mesure; Communication prudente,eau; volume-autorise; donnees-administratives; agregation; valeurs-extremes; cartographie; unites-de-mesure; communication-prudente,intermediaire,Agrégation; agrégation; Cartographie; Carte; cartes; cartographie; Communication prudente; communication prudente; Données administratives; données administratives; Eau; eau; Unités de mesure; unités de mesure; Valeurs extrêmes; valeurs extrêmes; Volume autorisé; volume autorisé,no_doc; site_id; nombre_sites_document; nom_intervenant; volume_autorise_l_j; volume_autorise_m3_j; precision_volume; provenance_eau; longitude; latitude,Comparer le nombre de sites et le volume autorisé total par provenance de l'eau.; Cartographier les sites de prélèvement autorisés sans les confondre avec des volumes réellement prélevés.; Évaluer l'influence des plus grands sites sur les graphiques de volumes.,27,datasets/prelevements-eau-autorises/fiche.qmd,source officielle vérifiée; CSV 2025-09-15 préparé localement,Aurélien Nicosia,Révision pédagogique et statistique
pyramides-ages,Pyramides des âges au Canada et au Québec,Pyramides des âges,Démographie,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1710000501,Licence ouverte de Statistique Canada,2026-06-21,"Canada, Québec, provinces et territoires","Combinaison année, géographie, genre et groupe d'âge","Table longue démographique, temporelle et territoriale",Table StatCan accessible par cansim; CSV et SDMX disponibles,302 610 lignes dans la table brute récupérée par cansim; 84 lignes préparées pour 2025,24 colonnes dans la table brute; 8 colonnes dans la table préparée 2025,Annuelle,Introduction à intermédiaire,Importation de données ouvertes; Nettoyage; Filtrage; Groupes d'âge; Proportions; Pyramide des âges; Comparaison temporelle; Interprétation démographique,importation-de-donnees-ouvertes; nettoyage; filtrage; groupes-d-age; proportions; pyramide-des-ages; comparaison-temporelle; interpretation-demographique,introduction; intermediaire,Comparaison temporelle; comparaison temporelle; Filtrage; filtrage; Groupes d'âge; groupes d'âge; Importation de données ouvertes; importation de données ouvertes; Interprétation démographique; interprétation démographique; Nettoyage; nettoyage; nettoyage de données; Proportions; proportions; Pyramide des âges; pyramide des âges,year; geography; gender; age_group; population; population_plot; proportion; proportion_plot,Construire une pyramide des âges du Québec pour 2025 et expliquer les choix de filtrage.; Comparer le poids des 65 ans et plus au Québec et au Canada entre 2001 et 2025.; Présenter une comparaison en proportions pour éviter de confondre taille de population et structure d'âge.,27,datasets/pyramides-ages/fiche.qmd,source officielle vérifiée; table StatCan 17-10-0005-01 préparée localement,Aurélien Nicosia,Révision pédagogique et statistique
qualite-air,Stations du réseau de qualité de l'air du Québec,Stations RSQAQ,Environnement,Données Québec / MELCCFP / RSQAQ,https://www.donneesquebec.ca/recherche/dataset/rsqaq-stations,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,"Québec, hors stations situées sur l'île de Montréal selon les métadonnées CKAN",Station de mesure incluse dans le répertoire public RSQAQ,"Répertoire d'infrastructure de mesure, tabulaire, spatial et temporel",CSV officiel préparé localement,245 stations préparées,10 colonnes dans le CSV source; 20 colonnes préparées,Ressource CSV modifiée le 2026-06-19; paquet CKAN modifié le 2026-06-19,Introduction à intermédiaire,Importation CSV; Dates; Valeurs manquantes; Statut préparé; Données spatiales simples; Couverture territoriale; Statistiques descriptives; Communication prudente,importation-csv; dates; valeurs-manquantes; statut-prepare; donnees-spatiales-simples; couverture-territoriale; statistiques-descriptives; communication-prudente,introduction; intermediaire,Communication prudente; communication prudente; Couverture territoriale; couverture territoriale; Dates; dates; Données spatiales simples; données spatiales simples; Importation CSV; importation CSV; importation csv; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Statut préparé; statut préparé; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes,station_id; station_name; region_code; region_administrative; municipalite; type_milieu; date_ouverture; date_fermeture; station_sans_date_fermeture; latitude; longitude,Comparer les stations sans date de fermeture selon les régions et les types de milieu.; Visualiser l'évolution du réseau par décennie d'ouverture.; Construire une carte de points et expliquer pourquoi elle ne mesure pas directement la pollution.,26,datasets/qualite-air/fiche.qmd,source officielle vérifiée; CSV des stations RSQAQ préparé localement,Aurélien Nicosia,Révision pédagogique et statistique
qualite-air-horaire,Qualité de l'air au Québec,Air Québec,Environnement,Données Québec / MELCCFP / RSQAQ,https://www.donneesquebec.ca/recherche/dataset/rsqaq-donnees-horaires-continues,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Québec,Mesure horaire de contaminant à une station RSQAQ,"Table horaire, environnementale, temporelle et multi-contaminants",CSV officiel 2025 préparé localement; une ressource CSV par année de 1975 à 2025,457 686 lignes horaires dans le CSV 2025; 65 306 résumés journaliers préparés,13 colonnes dans le CSV 2025; 10 colonnes dans le résumé journalier préparé,Annuelle par ressource publiée; paquet CKAN modifié le 2026-06-19,Introduction à intermédiaire,Séries temporelles; Données horaires; Valeurs manquantes; Résumé journalier; Visualisation; Détection d'anomalies; Données environnementales; Communication prudente,series-temporelles; donnees-horaires; valeurs-manquantes; resume-journalier; visualisation; detection-d-anomalies; donnees-environnementales; communication-prudente,introduction; intermediaire,Communication prudente; communication prudente; Données environnementales; données environnementales; Données horaires; données horaires; Détection d'anomalies; détection d'anomalies; Résumé journalier; résumé journalier; Séries temporelles; séries temporelles; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes; Visualisation; visualisation,source_year; date; station_id; station_name; contaminant_source; contaminant; n_heures_valides; moyenne; mediane; p95; maximum,"Comparer les profils journaliers de PM2.5 entre stations en 2025.; Repérer les journées où les moyennes de PM2.5 sont les plus élevées et discuter les limites d'une analyse descriptive.; Construire un tableau de bord exploratoire par station, contaminant et période.",27,datasets/qualite-air-horaire/fiche.qmd,source officielle vérifiée; CSV 2025 préparé localement,Aurélien Nicosia,Révision pédagogique et statistique
rapports-accident,Rapports d'accident,Accidents routiers,Transport et sécurité routière,Données Québec / Société de l'assurance automobile du Québec,https://www.donneesquebec.ca/recherche/dataset/rapports-d-accident,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Québec,"Rapport d'accident routier rempli par les policiers, ressource annuelle 2022","Tabulaire, temporel, catégoriel et administratif",CSV annuel officiel préparé localement; documentation PDF officielle,108 186 rapports dans le CSV 2022,25 champs dans le CSV source; 42 colonnes préparées,Ressources annuelles 2011 à 2022; paquet CKAN modifié le 2023-12-19,Intermédiaire,Données administratives; Unité statistique; Codes catégoriels; Tableaux croisés; Séries temporelles; Statistiques descriptives; Modélisation catégorielle; Limites d'exposition,donnees-administratives; unite-statistique; codes-categoriels; tableaux-croises; series-temporelles; statistiques-descriptives; modelisation-categorielle; limites-d-exposition,intermediaire,Codes catégoriels; codes catégoriels; Données administratives; données administratives; Limites d'exposition; limites d'exposition; Modélisation catégorielle; modélisation catégorielle; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Séries temporelles; séries temporelles; Tableaux croisés; tableaux croisés; Unité statistique; unité statistique,annee; mois; plage_horaire; type_jour; gravite; accident_avec_victime; accident_mortel_ou_grave; victimes_categorie; vehicules_categorie; region_administrative; meteo; surface; eclairement; genre_accident; velo; pieton,Comparer la gravité des accidents selon le mois et la météo.; Construire un portrait régional descriptif sans parler de risque routier.; Modéliser une variable binaire de gravité en expliquant les limites d'exposition.,28,datasets/rapports-accident/fiche.qmd,source officielle vérifiée; CSV 2022 préparé localement avec documentation,Aurélien Nicosia,Révision pédagogique et statistique
requetes-311,Demandes de services citoyennes 311 à Montréal,Requêtes 311,Services municipaux,Données Québec / Ville de Montréal,https://www.donneesquebec.ca/recherche/dataset/vmtl-requete-311,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Montréal,Demande citoyenne soumise au 311 ou par un canal municipal documenté,"Tabulaire, temporel, spatial et administratif",CSV officiel volumineux; échantillon pédagogique préparé localement,2 999 332 lignes dans la ressource 2022 à ce jour; 100 000 lignes non-Information dans l'échantillon préparé,29 champs dans le CSV source; 28 colonnes préparées,Mise à jour fréquente; ressource récente modifiée le 2026-06-20 selon CKAN,Introduction à intermédiaire,Données administratives; Échantillonnage; Catégories; Séries temporelles; Coordonnées; Valeurs manquantes; Biais de déclaration; Visualisation,donnees-administratives; echantillonnage; categories; series-temporelles; coordonnees; valeurs-manquantes; biais-de-declaration; visualisation,introduction; intermediaire,Biais de déclaration; biais de déclaration; Catégories; catégories; Coordonnées; coordonnées; Données administratives; données administratives; Séries temporelles; séries temporelles; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes; Visualisation; visualisation; Échantillonnage; échantillonnage,id_unique; nature; activite; arrondissement; arrondissement_geo; date_creation; annee_creation; mois_creation; provenance_originale; unite_responsable_parent; longitude; latitude; coordonnees_disponibles; dernier_statut; delai_statut_jours,Comparer les principales activités de demandes non-Information par arrondissement.; Décrire la saisonnalité observée de quelques catégories sans parler directement de besoins.; Cartographier les demandes avec coordonnées disponibles en discutant les biais de déclaration.,27,datasets/requetes-311/fiche.qmd,source officielle vérifiée; échantillon pédagogique non-Information préparé localement,Aurélien Nicosia,Révision pédagogique et statistique
retards-transport-collectif,Flux temps réel STM et ponctualité des bus,Ponctualité STM,Mobilité et performance de service,Société de transport de Montréal / Données Québec,https://www.donneesquebec.ca/recherche/dataset/vmtl-stm-bus-temps-reel-gtfs-realtime,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Réseau d'autobus de la STM,"Observation temps réel à archiver localement: mise à jour de trajet, position de véhicule ou alerte GTFS-realtime","Flux GTFS-realtime, métadonnées CKAN et protocole d'archivage pédagogique",GTFS-realtime via portail développeur STM; aucune table historique officielle directement téléchargeable dans CKAN,"Je ne sais pas. Le paquet CKAN expose un flux temps réel à accès développeur, pas une table historique.",Je ne sais pas. La structure dépend du message GTFS-realtime extrait et du protocole d'archivage.,Temps réel ou quasi temps réel; une analyse historique exige un archivage local planifié,Intermédiaire,Flux temps réel; Métadonnées; Séries temporelles; Valeurs manquantes; Échantillonnage temporel; Jointure GTFS; Qualité de service; Communication prudente,flux-temps-reel; metadonnees; series-temporelles; valeurs-manquantes; echantillonnage-temporel; jointure-gtfs; qualite-de-service; communication-prudente,intermediaire,Communication prudente; communication prudente; Flux temps réel; flux temps réel; Jointure GTFS; jointure GTFS; jointure gtfs; Métadonnées; métadonnées; Qualité de service; qualité de service; Séries temporelles; séries temporelles; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes; Échantillonnage temporel; échantillonnage temporel,collection_time; message_type; route_id; trip_id; vehicle_id; stop_id; delay_seconds; retard_minutes; latitude; longitude; occupancy_status,Concevoir un protocole d'archivage reproductible pour un flux GTFS-realtime.; Comparer la distribution des retards par ligne après avoir vérifié que delay_seconds est présent.; Évaluer les biais produits par la fréquence de collecte et les données manquantes.,21,datasets/retards-transport-collectif/fiche.qmd,"source officielle vérifiée; fiche de protocole, pas de table historique prête à distribuer",Aurélien Nicosia,Révision pédagogique et statistique
suivi-rivieres-fleuve,Suivi de la qualité de l'eau du fleuve et des rivières,Qualité de l'eau,Qualité de l'eau,Données Québec / MELCCFP,https://www.donneesquebec.ca/recherche/dataset/suivi-physicochimique-des-rivieres-et-du-fleuve,Attribution (CC-BY 4.0) selon les métadonnées CKAN vérifiées le 2026-06-21,2026-06-21,Québec,Station de suivi et année de fin d'une période de suivi agrégée,"Tabulaire, spatial, environnemental et temporel agrégé","ZIP CSV officiel préparé localement; ressources spatiales FGDB, GeoJSON, GPKG, REST et WMS aussi publiées",6 990 observations station-années; 866 aires de drainage,88 champs dans stations_p.csv; 19 colonnes préparées pour les stations; 13 colonnes dans ad_s.csv,Annuelle selon la ressource CSV; paquet CKAN modifié le 2026-06-18,Introduction à intermédiaire,Données environnementales; Séries temporelles agrégées; Statistiques descriptives; Cartographie; Jointure; Valeurs manquantes; Unités de mesure; Communication prudente,donnees-environnementales; series-temporelles-agregees; statistiques-descriptives; cartographie; jointure; valeurs-manquantes; unites-de-mesure; communication-prudente,introduction; intermediaire,Cartographie; Carte; cartes; cartographie; Communication prudente; communication prudente; Données environnementales; données environnementales; Jointure; Jointures; jointure; jointures; Statistiques descriptives; Statistique descriptive; statistique descriptive; statistiques descriptives; Séries temporelles agrégées; séries temporelles agrégées; Unités de mesure; unités de mesure; Valeurs manquantes; Données manquantes; données manquantes; valeurs manquantes,no_bqma; hydronyme; type_station; type_suivi; annee; iqbp_med; ptot_med_mgl; ntot_med_mgl; nox_med_mgl; chla_med_ugl; cf_med_ufc; latitude; longitude; bv_n1m; superf_tot_km2; pc_agricole,Décrire l'évolution du phosphore total médian pour une station suivie longtemps.; Comparer des indicateurs de qualité de l'eau entre bassins en tenant compte des périodes disponibles.; Joindre les aires de drainage pour discuter le contexte territorial sans conclure causalement.,27,datasets/suivi-rivieres-fleuve/fiche.qmd,source officielle vérifiée; ZIP CSV préparé localement avec résumés R,Aurélien Nicosia,Révision pédagogique et statistique
transport-collectif-gtfs,"Horaires, arrêts et parcours GTFS du RTC",GTFS RTC,Mobilité et transport collectif,Données Québec / Réseau de transport de la Capitale,https://www.donneesquebec.ca/recherche/dataset/rtc-gtfs-arrets-et-les-parcours,Attribution (CC-BY 4.0) selon les métadonnées CKAN; conditions RTC à respecter pour la provenance et la date de mise à jour,2026-06-21,"Territoire desservi par le Réseau de transport de la Capitale, région de Québec","Arrêt, parcours, trajet, horaire d'arrêt ou date de service selon le fichier GTFS","Flux GTFS statique, relationnel, spatial et temporel",ZIP GTFS contenant des fichiers texte CSV,4 370 arrêts; 182 parcours; 70 876 trajets; 3 104 289 horaires d'arrêt dans le ZIP téléchargé le 2026-06-21,8 colonnes dans stops.txt; 9 dans routes.txt; 9 dans trips.txt; 7 dans stop_times.txt,Le RTC publie un ZIP GTFS vivant; le feed_info du ZIP téléchargé couvre les services du 2026-06-20 au 2026-08-21,Intermédiaire,Importation d'un ZIP; Données relationnelles; Clés de jointure; Formats normalisés; Visualisation spatiale; Valeurs codées; Couverture de service; Communication prudente,importation-d-un-zip; donnees-relationnelles; cles-de-jointure; formats-normalises; visualisation-spatiale; valeurs-codees; couverture-de-service; communication-prudente,intermediaire,Clés de jointure; clés de jointure; Communication prudente; communication prudente; Couverture de service; couverture de service; Données relationnelles; données relationnelles; Formats normalisés; formats normalisés; Importation d'un ZIP; importation d'un ZIP; importation d'un zip; Valeurs codées; valeurs codées; Visualisation spatiale; visualisation spatiale,stop_id; stop_name; latitude; longitude; wheelchair_boarding; route_id; route_short_name; route_description; route_type; trip_id; service_id; trip_headsign; wheelchair_accessible; service_date,"Cartographier les arrêts du RTC et discuter la couverture spatiale sans inférer la demande.; Comparer les parcours selon le nombre de trajets planifiés et les limites de cette mesure.; Construire un dictionnaire relationnel reliant stops, routes, trips, stop_times et calendar_dates.",26,datasets/transport-collectif-gtfs/fiche.qmd,source officielle vérifiée; ZIP GTFS du RTC préparé localement,Aurélien Nicosia,Révision pédagogique et statistique
ulaval-programmes-cours,Programmes et cours institutionnels ULaval,ULaval programmes et cours,Éducation supérieure,"Université Laval, Bureau de la qualité des programmes",https://www.bqp.ulaval.ca/fichiers/ressources/gestion/codes-programmes-actifs.pdf,Aucune licence ouverte explicite identifiée pour les données sources; réutilisation publique à valider auprès de l'Université Laval ou par avis juridique.,2026-06-21,Université Laval,"Programme actif, nouvelle activité de formation, cours accessible ou indicateur institutionnel selon le fichier source","Tableaux institutionnels dérivés de documents publics, compilation indépendante et non officielle",CSV UTF-8 dans le dépôt privé source; seuls des résumés de validation sont publiés dans Données bleues,1 375 lignes core validées; 119 lignes GES validées; 165 lignes d'indicateurs repères validées localement,11 colonnes programmes actifs; 11 cours accessibles; 10 cours nouveaux; 8 à 15 colonnes pour les fichiers complémentaires validés,Je ne sais pas.,Intermédiaire,Importation contrôlée; Provenance; Validation; Droits de réutilisation; Documentation des limites; Clés uniques; Données privées; Communication prudente,importation-controlee; provenance; validation; droits-de-reutilisation; documentation-des-limites; cles-uniques; donnees-privees; communication-prudente,intermediaire,Clés uniques; clés uniques; Communication prudente; communication prudente; Documentation des limites; documentation des limites; Données privées; données privées; Droits de réutilisation; droits de réutilisation; Importation contrôlée; importation contrôlée; Provenance; provenance; Validation; validation,code_programme; programme; code_cours; titre; faculte; credits; source_id; page_source; note; statut_quantification; statut_valeur,"Valider un import de données institutionnelles sans modifier les valeurs ni publier les lignes.; Comparer les contrôles de clés, de provenance et de droits entre plusieurs fichiers.; Produire une note méthodologique sur ce qui peut être montré publiquement et ce qui doit rester privé.",20,datasets/ulaval-programmes-cours/fiche.qmd,source privée locale validée; données non redistribuées publiquement,Aurélien Nicosia,Révision pédagogique et statistique
