creation_date_time,incident_type,description_groupe,caserne,nom_ville,nom_arrond,division,nombre_unites
2025-06-01T01:55:54Z,Premier répondant,1-REPOND,27,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,1
2025-06-05T18:05:54Z,Premier répondant,1-REPOND,49,Montréal,Ahuntsic-Cartierville,3,1
2025-06-10T05:30:13Z,Ac.véh./1R/s.v./ext/29B/D,1-REPOND,39,Montréal,Mercier-Hochelaga-Maisonneuve,4,1
2025-06-15T03:07:48Z,Premier répondant,1-REPOND,20,Montréal,Ville-Marie,6,1
2025-06-19T13:28:30Z,Acc. sans victime sfeu - v.r,SANS FEU,38,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,1
2025-06-23T20:10:49Z,Ascenseur,SANS FEU,55,Pointe-Claire,Indéterminé,1,2
2025-06-28T16:10:08Z,Premier répondant,1-REPOND,25,Montréal,Ville-Marie,6,1
2025-07-03T11:43:16Z,Premier répondant,1-REPOND,20,Montréal,Ville-Marie,6,1
2025-07-08T08:34:07Z,Premier répondant,1-REPOND,13,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
2025-07-12T17:12:29Z,Fuite ext.:hydrocar. liq. div.,SANS FEU,50,Montréal,Rosemont-La Petite-Patrie,5,1
2025-07-16T16:12:46Z,Premier répondant,1-REPOND,19,Montréal,Ville-Marie,6,2
2025-07-21T12:50:42Z,Premier répondant,1-REPOND,28,Montréal,Anjou,4,1
2025-07-26T12:30:55Z,Premier répondant,1-REPOND,5,Montréal,Ville-Marie,6,1
2025-07-31T11:51:53Z,Premier répondant,1-REPOND,48,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
2025-08-05T11:10:52Z,Premier répondant,1-REPOND,48,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
2025-08-10T08:17:36Z,Premier répondant,1-REPOND,41,Montréal,Villeray-Saint-Michel-Parc-Extension,5,1
2025-08-14T15:40:44Z,Premier répondant,1-REPOND,26,Montréal,Le Plateau-Mont-Royal,5,1
2025-08-19T13:09:33Z,Premier répondant,1-REPOND,66,Montréal,Verdun,2,1
2025-08-24T11:50:08Z,Premier répondant,1-REPOND,30,Montréal,Le Plateau-Mont-Royal,5,1
2025-08-29T13:25:07Z,Premier répondant,1-REPOND,5,Montréal,Ville-Marie,6,1
2025-09-03T10:00:44Z,Premier répondant,1-REPOND,27,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,1
2025-09-07T18:38:23Z,Premier répondant,1-REPOND,21,Montréal,Saint-Léonard,4,1
2025-09-12T12:40:15Z,Premier répondant,1-REPOND,20,Montréal,Ville-Marie,6,1
2025-09-17T10:01:55Z,Alarme vérification,Alarmes-incendies,49,Montréal,Ahuntsic-Cartierville,3,2
2025-09-22T01:20:42Z,Premier répondant,1-REPOND,66,Montréal,Verdun,2,1
2025-09-26T19:51:48Z,Ac.véh./1R/s.v./ext/29B/D,1-REPOND,40,Montréal,Mercier-Hochelaga-Maisonneuve,5,2
2025-10-01T13:51:57Z,Premier répondant,1-REPOND,5,Montréal,Ville-Marie,6,1
2025-10-05T15:50:23Z,Premier répondant,1-REPOND,47,Montréal,Rosemont-La Petite-Patrie,5,1
2025-10-10T09:02:08Z,Premier répondant,1-REPOND,5,Montréal,Ville-Marie,6,1
2025-10-15T11:08:02Z,Premier répondant,1-REPOND,41,Montréal,Villeray-Saint-Michel-Parc-Extension,5,1
2025-10-20T01:01:14Z,Premier répondant,1-REPOND,63,Dorval,Indéterminé,2,1
2025-10-24T19:57:46Z,Premier répondant,1-REPOND,65,Montréal,LaSalle,2,1
2025-10-30T04:21:52Z,Premier répondant,1-REPOND,18,Montréal,Montréal-Nord,4,1
2025-11-03T13:39:49Z,Premier répondant,1-REPOND,65,Montréal,LaSalle,2,1
2025-11-08T15:22:40Z,10-06 avec feu,NA,43,Montréal,Ahuntsic-Cartierville,4,16
2025-11-12T17:55:12Z,Appel de Cie de détection,Alarmes-incendies,61,Dollard-des-Ormeaux,Indéterminé,1,2
2025-11-17T18:27:59Z,Alarme privé ou locale,Alarmes-incendies,65,Montréal,LaSalle,2,2
2025-11-22T21:33:53Z,Premier répondant,1-REPOND,55,Pointe-Claire,Indéterminé,1,1
2025-11-28T03:07:32Z,Premier répondant,1-REPOND,73,Montréal,Saint-Laurent,3,1
2025-12-02T22:00:35Z,Odeur suspecte - gaz,SANS FEU,67,Montréal,Verdun,2,1
2025-12-07T13:56:57Z,Premier répondant,1-REPOND,49,Montréal,Ahuntsic-Cartierville,3,1
2025-12-12T02:43:35Z,Premier répondant,1-REPOND,47,Montréal,Rosemont-La Petite-Patrie,5,1
2025-12-17T14:23:14Z,Premier répondant,1-REPOND,4,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,1
2025-12-22T19:22:29Z,Premier répondant,1-REPOND,64,Montréal,Lachine,2,1
2025-12-28T16:01:51Z,Aliments surchauffés,SANS FEU,46,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,2,4
2026-01-02T19:30:15Z,Appel de Cie de détection,Alarmes-incendies,30,Montréal,Le Plateau-Mont-Royal,6,2
2026-01-08T13:19:24Z,Premier répondant,1-REPOND,17,Montréal,Montréal-Nord,4,1
2026-01-14T11:38:24Z,Appel de Cie de détection,Alarmes-incendies,54,Kirkland,Indéterminé,1,1
2026-01-20T19:01:24Z,10-22 avec feu,INCENDIE,37,Montréal,Villeray-Saint-Michel-Parc-Extension,5,5
2026-01-26T05:37:17Z,Appel de Cie de détection,Alarmes-incendies,64,Montréal,Lachine,2,1
2026-01-31T10:51:41Z,Premier répondant,1-REPOND,73,Montréal,Saint-Laurent,3,1
2026-02-06T14:10:02Z,Premier répondant,1-REPOND,73,Montréal,Saint-Laurent,3,1
2026-02-12T12:06:14Z,Alarme privé ou locale,Alarmes-incendies,30,Montréal,Le Plateau-Mont-Royal,6,2
2026-02-18T20:21:46Z,Premier répondant,1-REPOND,41,Montréal,Villeray-Saint-Michel-Parc-Extension,5,1
2026-02-25T16:33:53Z,Acc. sans victime sfeu - ext.,SANS FEU,32,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,1
2026-03-03T19:24:05Z,Alarme privé ou locale,Alarmes-incendies,39,Montréal,Mercier-Hochelaga-Maisonneuve,5,6
2026-03-10T12:41:41Z,Ascenseur,SANS FEU,29,Montréal,Rosemont-La Petite-Patrie,5,2
2026-03-16T07:29:22Z,Premier répondant,1-REPOND,38,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,1
2026-03-21T16:06:38Z,Appel de Cie de détection,Alarmes-incendies,76,Westmount,Indéterminé,3,1
2026-03-28T01:59:02Z,Premier répondant,1-REPOND,9,Montréal,Villeray-Saint-Michel-Parc-Extension,4,1
2026-04-03T15:18:27Z,Structure dangereuse,SANS FEU,37,Montréal,Villeray-Saint-Michel-Parc-Extension,3,1
2026-04-09T19:28:53Z,Premier répondant,1-REPOND,4,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,1
2026-04-16T08:51:25Z,Inondation,SANS FEU,8,Montréal-Est,Indéterminé,5,1
2026-04-21T14:55:04Z,Ascenseur,SANS FEU,27,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,2
2026-04-27T00:15:19Z,Premier répondant,1-REPOND,30,Montréal,Le Plateau-Mont-Royal,6,1
2026-05-02T04:42:00Z,Premier répondant,1-REPOND,65,Montréal,LaSalle,2,1
2026-05-07T17:51:15Z,Premier répondant,1-REPOND,61,Dollard-des-Ormeaux,Indéterminé,1,1
2026-05-13T16:57:23Z,Ac.véh./1R/s.v./ext/29B/D,1-REPOND,61,Dollard-des-Ormeaux,Indéterminé,1,2
2026-05-19T14:08:58Z,Ascenseur,SANS FEU,66,Montréal,Verdun,2,2
2026-05-24T23:04:21Z,Alarme privé ou locale,Alarmes-incendies,30,Montréal,Le Plateau-Mont-Royal,5,3
2026-05-30T11:30:04Z,Premier répondant,1-REPOND,64,Montréal,Lachine,2,1
2026-06-04T11:45:00Z,10-22 sans feu,SANS FEU,38,Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,4,6
2026-06-09T09:15:20Z,Premier répondant,1-REPOND,27,Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,3,1
2026-06-13T20:04:58Z,Premier répondant,1-REPOND,48,Montréal,Mercier-Hochelaga-Maisonneuve,5,2
2026-06-19T09:56:34Z,Aliments surchauffés,SANS FEU,65,Montréal,LaSalle,2,1
2026-06-23T16:50:19Z,Premier répondant,1-REPOND,49,Montréal,Ahuntsic-Cartierville,3,1
2026-06-29T02:05:42Z,Assistance serv. muni.,SANS FEU,61,Dollard-des-Ormeaux,Indéterminé,1,1
2026-07-03T09:33:24Z,Alarme privé ou locale,Alarmes-incendies,17,Montréal,Montréal-Nord,4,4
2026-07-07T22:22:59Z,Appel de Cie de détection,Alarmes-incendies,20,Montréal,Ville-Marie,6,2
2026-07-12T21:53:06Z,Premier répondant,1-REPOND,64,Montréal,Lachine,2,1
2026-07-17T20:47:14Z,Premier répondant,1-REPOND,76,Westmount,Indéterminé,3,1
2026-07-23T15:35:04Z,Acc. sans victime sfeu - ext.,SANS FEU,9,Montréal,Villeray-Saint-Michel-Parc-Extension,4,1
2026-07-29T03:23:42Z,Alarme privé ou locale,Alarmes-incendies,30,Montréal,Le Plateau-Mont-Royal,6,2
2026-08-03T07:14:45Z,10-22 sans feu,SANS FEU,30,Montréal,Le Plateau-Mont-Royal,6,5
2026-08-08T04:01:55Z,Ac.véh./1R/s.v./ext/29B/D,1-REPOND,35,Montréal,Ahuntsic-Cartierville,3,2
2026-08-13T11:31:06Z,Appel de Cie de détection,Alarmes-incendies,21,Montréal,Saint-Léonard,4,3
2026-08-18T19:21:04Z,Feu de nature électrique,INCENDIE,65,Montréal,LaSalle,2,6
2026-08-24T13:07:18Z,Ac.véh./1R/s.v./V.R./29B/D,1-REPOND,42,Montréal,Ahuntsic-Cartierville,3,2
2026-08-29T16:33:09Z,Structure dangereuse,SANS FEU,5,Montréal,Ville-Marie,6,1
NA,Premier répondant,1-REPOND,48,Montréal,Mercier-Hochelaga-Maisonneuve,5,1
